Category,match_score_pct,Skills Matched,Skills Missing
CONSULTANT,1.86,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.85,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.85,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.8,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.8,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.79,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.78,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.74,MACHINE LEARNING,"PYTHON, SQL, NLP, TABLEAU"
AUTOMOBILE,1.72,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.71,MACHINE LEARNING,"PYTHON, SQL, NLP, TABLEAU"
ARTS,1.7,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.69,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.68,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.67,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.67,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.66,"PYTHON, SQL, MACHINE LEARNING","NLP, TABLEAU"
FINANCE,1.66,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.66,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
CONSTRUCTION,1.65,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.63,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
INFORMATION-TECHNOLOGY,1.62,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.61,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.61,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.61,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.59,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.59,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.59,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.57,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.56,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.56,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,1.56,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.55,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
DESIGNER,1.55,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.55,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
HR,1.55,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BPO,1.54,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.53,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,1.53,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.53,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.52,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,1.52,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.52,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.51,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,1.49,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.49,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.49,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.48,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.48,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.47,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,1.46,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,1.46,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.45,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.44,"PYTHON, SQL, TABLEAU","NLP, MACHINE LEARNING"
INFORMATION-TECHNOLOGY,1.44,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.43,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.43,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,1.43,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.43,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.43,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.43,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.43,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.42,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.42,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.41,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.41,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.41,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.41,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.41,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.41,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.4,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.39,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.39,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.39,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.39,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.38,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.38,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CHEF,1.38,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.37,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.37,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.36,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.35,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.35,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.35,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.35,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.35,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.35,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.35,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.35,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.33,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.33,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.33,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.33,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.33,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.33,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,1.33,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.32,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.32,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.32,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.32,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.31,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,1.3,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.3,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.3,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.3,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.3,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.29,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.29,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.28,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,1.28,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
CONSTRUCTION,1.28,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.27,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.27,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.27,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.27,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.27,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.26,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.26,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.26,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.26,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.26,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.25,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.25,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.24,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.24,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.24,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.24,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.23,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.23,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.23,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,1.23,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.22,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.22,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.22,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.21,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.21,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.21,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.21,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.2,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.2,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.2,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.2,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.2,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.2,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.2,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.2,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.19,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.19,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.19,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.19,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,1.18,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.18,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.18,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.18,MACHINE LEARNING,"PYTHON, SQL, NLP, TABLEAU"
SALES,1.18,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.18,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.17,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.17,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.17,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.16,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.16,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,1.16,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.16,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.16,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CHEF,1.16,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.16,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.16,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.15,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.15,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.15,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,1.15,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.15,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.15,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.15,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.15,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BPO,1.15,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BANKING,1.15,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.14,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.13,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.13,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
ARTS,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.13,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
TEACHER,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
SALES,1.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.12,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.12,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,1.12,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,1.12,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.12,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.12,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.12,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,1.12,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.12,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HR,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
APPAREL,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,1.11,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.1,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.1,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,1.1,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.1,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.1,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.1,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.1,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.1,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.1,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.09,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BPO,1.09,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.09,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.09,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.09,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.09,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.09,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.09,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.08,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,1.08,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.08,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.08,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DIGITAL-MEDIA,1.08,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
PUBLIC-RELATIONS,1.08,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.08,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.08,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.08,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.08,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSTRUCTION,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ARTS,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BPO,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FINANCE,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,1.07,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
ADVOCATE,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ACCOUNTANT,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
TEACHER,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.07,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,1.06,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,1.06,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
HEALTHCARE,1.06,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
